id,name,city,state,verified_count,verified_images_pipe
cmpxzvwp0000b04kym6syqg83,Katiki Waterfalls,Araku,Andhra Pradesh,3,https://upload.wikimedia.org/wikipedia/commons/2/2d/Katiki_Waterfall.jpg|https://upload.wikimedia.org/wikipedia/commons/e/e8/Katiki_waterfalls.jp.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3e/Katiki_waterfalls.jpg
cmpxzvxje000d04kyw3cbzpjn,Bheemunipatnam Beach,Bheemunipatnam,Andhra Pradesh,4,https://upload.wikimedia.org/wikipedia/commons/8/81/A_Shelter_at_Bheemunipatnam_Beach_Park.jpg|https://upload.wikimedia.org/wikipedia/commons/2/29/A_Statue_at_Bheemunipatnam_Beach_Park.jpg|https://upload.wikimedia.org/wikipedia/commons/1/1b/A_Tomb_at_Dutch_Cemetery%2C_Bheemunipatnam_beach_01.jpg|https://upload.wikimedia.org/wikipedia/commons/4/4f/A_Tomb_at_Dutch_Cemetery%2C_Bheemunipatnam_beach_02.jpg
cmpxzvz3j000j04kygbqu8fws,Ethipothala Falls,Macherla,Andhra Pradesh,5,https://upload.wikimedia.org/wikipedia/commons/6/64/Ethipothala_waterfall_guntur.jpg|https://upload.wikimedia.org/wikipedia/commons/9/9c/Ethipothala_Waterfalls_Landscape.JPG|https://upload.wikimedia.org/wikipedia/commons/e/e7/Ethipothala_Waterfalls.JPG|https://upload.wikimedia.org/wikipedia/commons/4/40/Ethipothala_waterfall_2007.jpg|https://upload.wikimedia.org/wikipedia/commons/b/b2/Ethipothala_waterfall.jpg
cmpxzvydm000g04kyfi1qhm27,Srisailam Mallikarjuna Temple,Srisailam,Andhra Pradesh,5,https://upload.wikimedia.org/wikipedia/commons/d/d5/2025_Ghanta_Matham_temple_in_Srisailam.jpg|https://upload.wikimedia.org/wikipedia/commons/6/6c/A_Nataraja_relief_carved_on_Northern_wall_of_Srisailam_Temple.jpg|https://upload.wikimedia.org/wikipedia/commons/2/2d/APSS303_Srisailam_town_zoom_view_from_welcome_center2.jpg|https://upload.wikimedia.org/wikipedia/commons/4/4a/Entrance_of_Srisailam_temple.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3c/Eshana_Lingam_and_Kumara_Lingam_temples_at_Ghanta_Matham_in_Srisailam.jpg
cmpuvlxr0000g04l1fbkteicr,Bheemunipatnam Beach,Visakhapatnam,Andhra Pradesh,5,https://upload.wikimedia.org/wikipedia/commons/3/3c/A_Creative_Snap_at_Bheemunipatnam_Beach_01.jpg|https://upload.wikimedia.org/wikipedia/commons/1/1b/A_Tomb_at_Dutch_Cemetery%2C_Bheemunipatnam_beach_01.jpg|https://upload.wikimedia.org/wikipedia/commons/4/4f/A_Tomb_at_Dutch_Cemetery%2C_Bheemunipatnam_beach_02.jpg|https://upload.wikimedia.org/wikipedia/commons/0/0b/A_Tomb_at_Dutch_Cemetery%2C_Bheemunipatnam_beach_03.jpg|https://upload.wikimedia.org/wikipedia/commons/7/72/A_Tomb_at_Dutch_Cemetery%2C_Bheemunipatnam_beach_04.jpg
cmppccfn5000204l21a89rto9,INS Kursura Submarine Museum,Visakhapatnam,Andhra Pradesh,1,https://upload.wikimedia.org/wikipedia/commons/d/d8/INS_Kursura_Submarine_Museum.jpg
cmpuvluxl000404l1ztkcusdc,INS Kurusura Submarine Museum,Visakhapatnam,Andhra Pradesh,5,https://upload.wikimedia.org/wikipedia/commons/b/bc/INS_Kursura_%28S20%29.jpg|https://upload.wikimedia.org/wikipedia/commons/7/7a/INS_Kursura_at_RK_Beach_Vizag.JPG|https://upload.wikimedia.org/wikipedia/commons/d/d8/INS_Kursura_Submarine_Museum.jpg|https://upload.wikimedia.org/wikipedia/commons/6/6d/Interior_of_INS_Kursura_%28S20%29%2C_the_submarine_museum_in_Vizag_01.jpg|https://upload.wikimedia.org/wikipedia/commons/9/91/Interior_of_INS_Kursura_%28S20%29%2C_the_submarine_museum_in_Vizag_02.jpg
cmpuvlygc000j04l13v5ekb05,Katiki Waterfalls,Visakhapatnam,Andhra Pradesh,3,https://upload.wikimedia.org/wikipedia/commons/2/2d/Katiki_Waterfall.jpg|https://upload.wikimedia.org/wikipedia/commons/e/e8/Katiki_waterfalls.jp.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3e/Katiki_waterfalls.jpg
cmptyplcd000704jskqx9cwhr,Anjuna Beach,Anjuna,Goa,3,https://upload.wikimedia.org/wikipedia/commons/c/cf/Anjuna_Beach%2C_Goa%2C_India%2C_Legendary_Curlies_beach_shack.jpg|https://upload.wikimedia.org/wikipedia/commons/0/00/Anjuna_beach_water_receding.jpg|https://upload.wikimedia.org/wikipedia/commons/b/b2/Anjuna_Hill_-_panoramio.jpg
cmpy1xdbo002c04l5gb0lcug6,Arambol Beach,Arambol,Goa,5,https://upload.wikimedia.org/wikipedia/commons/8/82/Arambol-give-tylicki.jpg|https://upload.wikimedia.org/wikipedia/commons/a/ab/Arambol_2022-01-04-2.jpg|https://upload.wikimedia.org/wikipedia/commons/e/e6/Arambol_Lake_swimmer.jpg|https://upload.wikimedia.org/wikipedia/commons/d/df/Arambol_Mountain.jpg|https://upload.wikimedia.org/wikipedia/commons/0/00/Arambol_Shacks.jpg
cmpy1wslb002404l5bfvzk2xw,Fort Cabo de Rama,Cabo de Rama,Goa,2,https://upload.wikimedia.org/wikipedia/commons/a/ad/Fort_aguada.jpg|https://upload.wikimedia.org/wikipedia/commons/f/f4/Aguada_Fort_%2C_Goa%2C_India.JPG
cmptypl43000604jsodjo91x1,Baga Beach,Calangute,Goa,5,https://upload.wikimedia.org/wikipedia/commons/a/a8/Baga_Beach%2C_Calangute%2C_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/5/53/Baga_Beach%2C_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/8/80/Baga_Beach_25012016.jpg|https://upload.wikimedia.org/wikipedia/commons/8/81/Sunset_at_Calangute.jpg|https://upload.wikimedia.org/wikipedia/commons/a/ae/Boats_on_the_Calangute_beach%2C_Goa.jpg
cmptypkvq000504js12kgxli8,Calangute Beach,Calangute,Goa,5,https://upload.wikimedia.org/wikipedia/commons/8/81/Sunset_at_Calangute.jpg|https://upload.wikimedia.org/wikipedia/commons/a/ae/Boats_on_the_Calangute_beach%2C_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/1/18/Calangute-Tinto.jpg|https://upload.wikimedia.org/wikipedia/commons/a/a8/Baga_Beach%2C_Calangute%2C_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/5/53/Baga_Beach%2C_Goa.jpg
cmpy1xaw9002504l5luugkmqe,Agonda Beach,Canacona,Goa,4,https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/d/da/Goa_Palolem_beach_sunset.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3f/Palolem_Beach%2C_south_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg
cmpy1wrv9002104l5rypgho0s,Cotigao Wildlife Sanctuary,Canacona,Goa,3,https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3f/Palolem_Beach%2C_south_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg
cmptyplkp000804jsj65r549s,Palolem Beach,Canacona,Goa,5,https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/d/da/Goa_Palolem_beach_sunset.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3f/Palolem_Beach%2C_south_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/d/da/Goa_Palolem_beach_sunset.jpg
cmpy1xb4x002604l54mkteyjt,Candolim Beach,Candolim,Goa,2,https://upload.wikimedia.org/wikipedia/commons/a/a8/Baga_Beach%2C_Calangute%2C_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/6/6b/Aguada_Fort_-_Sinquerim_Beach_-_Goa_-_0001.jpg
cmptypkf3000304jsdypu0rd0,Dudhsagar Falls,Collem,Goa,2,https://upload.wikimedia.org/wikipedia/commons/f/f7/Doodhsagar_Waterfalls.jpg|https://upload.wikimedia.org/wikipedia/commons/f/f7/Doodhsagar_Waterfalls.jpg
cmpy1wscm002304l5dq8hv7r8,Colva Beach,Colva,Goa,2,https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/d/da/Goa_Palolem_beach_sunset.jpg
cmpy1ws3y002204l5kbrk6xlo,Divar Island,Divar,Goa,1,https://upload.wikimedia.org/wikipedia/commons/9/9a/Jose_pacheco_-_Divar.jpg
cmpy1wq1p001w04l5w2zze9b5,Bhagwan Mahavir Wildlife Sanctuary,Mollem,Goa,0,
cmpy1xbdn002704l53f2hfp1b,Morjim Beach,Morjim,Goa,2,https://upload.wikimedia.org/wikipedia/commons/c/cf/Anjuna_Beach%2C_Goa%2C_India%2C_Legendary_Curlies_beach_shack.jpg|https://upload.wikimedia.org/wikipedia/commons/a/a8/Baga_Beach%2C_Calangute%2C_Goa.jpg
cmptypjpp000004jsgee6anr8,Basilica of Bom Jesus,Old Goa,Goa,3,https://upload.wikimedia.org/wikipedia/commons/9/9e/Front_Elevation_of_Basilica_of_Bom_Jesus.jpg|https://upload.wikimedia.org/wikipedia/commons/f/f3/Basilica_of_Bom_Jesus_and_vehicles_parked_infront.jpg|https://upload.wikimedia.org/wikipedia/commons/3/38/Basilica_of_Bom_Jesus_inside_courtyard.jpg
cmptypjyb000104jsrt02sycp,Se Cathedral,Old Goa,Goa,3,https://upload.wikimedia.org/wikipedia/commons/1/14/Perspective_of_Se_Cathedral.jpg|https://upload.wikimedia.org/wikipedia/commons/d/d8/Closeup_of_Se_Cathedral_from_Rua_Direita_%2802%29.jpg|https://upload.wikimedia.org/wikipedia/commons/0/0e/Bell_Tower_on_Se_Cathedral.jpg
cmpy1xcyl002b04l5ehsne0ay,Butterfly Beach,Palolem,Goa,5,https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/d/da/Goa_Palolem_beach_sunset.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3f/Palolem_Beach%2C_south_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/d/da/Goa_Palolem_beach_sunset.jpg
cmpy1y8yu002d04l530y7g05s,Dona Paula,Panaji,Goa,3,https://upload.wikimedia.org/wikipedia/commons/8/8c/Dona_Paula%2C_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/9/93/Dona_Paula_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/d/db/Fishing_Boats_anchored_at_Dona_Paula_%2C_Goa.jpg
cmpy1wpt1001v04l5ku129twm,Fontainhas Latin Quarter,Panaji,Goa,3,https://upload.wikimedia.org/wikipedia/commons/0/0c/Fontainhas_-_Wishing_Well_%2856337569%29.jpg|https://upload.wikimedia.org/wikipedia/commons/e/e4/Fontainhas_-_somewhere_in_between.jpg|https://upload.wikimedia.org/wikipedia/commons/d/db/Road_along_Vasco-da-gama_residence_in_Fontainhas%2C_Panaji.jpg
cmptyplt1000904jst8e7m8kv,Shri Mangueshi Temple,Ponda,Goa,5,https://upload.wikimedia.org/wikipedia/commons/7/7d/Shri-Mangesh-Temple%2CGoa.JPG|https://upload.wikimedia.org/wikipedia/commons/a/a9/IN-Goa-Ponda-shri-manguesh-1.jpg|https://upload.wikimedia.org/wikipedia/commons/4/48/IN-Goa-Ponda-shri-manguesh-2.jpg|https://upload.wikimedia.org/wikipedia/commons/7/7d/Shri-Mangesh-Temple%2CGoa.JPG|https://upload.wikimedia.org/wikipedia/commons/a/a9/IN-Goa-Ponda-shri-manguesh-1.jpg
cmpy1wpbe001u04l5x0fwcao0,Spice Plantation Ponda,Ponda,Goa,2,https://upload.wikimedia.org/wikipedia/commons/a/a9/IN-Goa-Ponda-shri-manguesh-1.jpg|https://upload.wikimedia.org/wikipedia/commons/4/48/IN-Goa-Ponda-shri-manguesh-2.jpg
cmpy1wrdu001z04l5jlgww9eb,Netravali Bubbling Lake,Sanguem,Goa,1,https://upload.wikimedia.org/wikipedia/commons/7/7c/Netravali.jpg
cmpy1wr52001y04l5meswufox,Tambdi Surla Temple,Sanguem,Goa,2,https://upload.wikimedia.org/wikipedia/commons/7/7d/Shri-Mangesh-Temple%2CGoa.JPG|https://upload.wikimedia.org/wikipedia/commons/7/7d/Shri-Mangesh-Temple%2CGoa.JPG
cmpy1wrmj002004l5gxl88r8n,Harvalem Waterfall,Sanquelim,Goa,0,
cmptypk6r000204jsd966ky16,Fort Aguada,Sinquerim,Goa,3,https://upload.wikimedia.org/wikipedia/commons/a/ad/Fort_aguada.jpg|https://upload.wikimedia.org/wikipedia/commons/f/f4/Aguada_Fort_%2C_Goa%2C_India.JPG|https://upload.wikimedia.org/wikipedia/commons/6/6b/Aguada_Fort_-_Sinquerim_Beach_-_Goa_-_0001.jpg
cmpy1xbv0002904l53nm1c8k7,Sinquerim Beach,Sinquerim,Goa,1,https://upload.wikimedia.org/wikipedia/commons/6/6b/Aguada_Fort_-_Sinquerim_Beach_-_Goa_-_0001.jpg
cmptypknf000404jsqpxnko2b,Chapora Fort,Vagator,Goa,3,https://upload.wikimedia.org/wikipedia/commons/4/4f/Chapora_Fort_GOA.jpg|https://upload.wikimedia.org/wikipedia/commons/3/35/Fort_Chapora_26012016.jpg|https://upload.wikimedia.org/wikipedia/commons/5/5c/Chapora_fort_25012016.jpg
cmpy1xbmc002804l51vm67mun,Vagator Beach,Vagator,Goa,4,https://upload.wikimedia.org/wikipedia/commons/4/4f/Chapora_Fort_GOA.jpg|https://upload.wikimedia.org/wikipedia/commons/3/35/Fort_Chapora_26012016.jpg|https://upload.wikimedia.org/wikipedia/commons/5/5c/Chapora_fort_25012016.jpg|https://upload.wikimedia.org/wikipedia/commons/c/cf/Anjuna_Beach%2C_Goa%2C_India%2C_Legendary_Curlies_beach_shack.jpg
cmpy1xcpw002a04l544kqh4t5,Grand Island Scuba,Vasco,Goa,0,
cmpy1wqwd001x04l50k897x03,Reis Magos Fort,Verem,Goa,3,https://upload.wikimedia.org/wikipedia/commons/a/ad/Fort_aguada.jpg|https://upload.wikimedia.org/wikipedia/commons/f/f4/Aguada_Fort_%2C_Goa%2C_India.JPG|https://upload.wikimedia.org/wikipedia/commons/6/6b/Aguada_Fort_-_Sinquerim_Beach_-_Goa_-_0001.jpg
cmpy1ktm6000n04l5gbltk6cf,Chandratal Lake,Batal,Himachal Pradesh,5,https://upload.wikimedia.org/wikipedia/commons/d/d0/Beauty_of_Chandratal_Lake_03.jpg|https://upload.wikimedia.org/wikipedia/commons/a/a7/Chandratal.JPG|https://upload.wikimedia.org/wikipedia/commons/3/3a/Chandratal_1.JPG|https://upload.wikimedia.org/wikipedia/commons/0/0a/Chandratal_July_2017.jpg|https://upload.wikimedia.org/wikipedia/commons/5/58/Ruddy_Shelduck_Chandratal_Spiti_Himachal_Jun18_D72_7911.jpg
cmptwun12000905l1xjczqi3i,Bir Billing,Bir,Himachal Pradesh,2,https://upload.wikimedia.org/wikipedia/commons/6/6a/Paragliding_at_Bir_Billing.jpg|https://upload.wikimedia.org/wikipedia/commons/4/4d/Bir_Billing_paragliding.jpg
cmpy1lknk000u04l5kwelzzhn,Chail,Chail,Himachal Pradesh,5,https://upload.wikimedia.org/wikipedia/commons/1/1e/Chail_Palace.jpg|https://upload.wikimedia.org/wikipedia/commons/7/77/Chailcricketground.jpg|https://upload.wikimedia.org/wikipedia/commons/5/5e/Chailhill.jpg|https://upload.wikimedia.org/wikipedia/commons/4/4c/Kali_Tibba_Temple_Chail_2025.jpg|https://upload.wikimedia.org/wikipedia/commons/4/47/Kufri%2C_starting_point_to_Chail.jpg
cmpy1k88j000d04l569yhp49s,Chamba,Chamba,Himachal Pradesh,5,https://upload.wikimedia.org/wikipedia/commons/e/e0/0051523_Hari_Rai_temple%2C_Chamba%2C_Himachal_Pradesh_032.jpg|https://upload.wikimedia.org/wikipedia/commons/0/02/0051723_Lakshmi_Narayan_group_of_temples%2C_Chamba%2C_Himachal_Pradesh_051.jpg|https://upload.wikimedia.org/wikipedia/commons/2/2e/Chamba2.jpg|https://upload.wikimedia.org/wikipedia/commons/7/77/Chamba3.jpg|https://upload.wikimedia.org/wikipedia/commons/3/31/Chamba4.jpg
cmptwulmr000305l1anzvpkgv,Dalhousie,Dalhousie,Himachal Pradesh,2,https://upload.wikimedia.org/wikipedia/commons/4/4b/Dalhousie_hill_station.jpg|https://upload.wikimedia.org/wikipedia/commons/8/8f/Dalhousie_view.jpg
cmptwuled000205l1wgt42885,Dharamshala,Dharamshala,Himachal Pradesh,1,https://upload.wikimedia.org/wikipedia/commons/2/2d/Dharamshala_McLeod_Ganj.jpg
cmpy1k5us000504l5ata4rkys,McLeod Ganj,Dharamshala,Himachal Pradesh,3,https://upload.wikimedia.org/wikipedia/commons/4/4f/McLeod_Ganj_Street.jpg|https://upload.wikimedia.org/wikipedia/commons/8/8e/McLeod_Ganj.jpg|https://upload.wikimedia.org/wikipedia/commons/2/2d/Dharamshala_McLeod_Ganj.jpg
cmpy1ksp6000l04l58psu9yzu,Triund,Dharamshala,Himachal Pradesh,1,https://upload.wikimedia.org/wikipedia/commons/2/2d/Dharamshala_McLeod_Ganj.jpg
cmpy1k7zz000c04l5e4nuzvjq,Great Himalayan National Park,Gushaini,Himachal Pradesh,3,https://upload.wikimedia.org/wikipedia/commons/6/64/Great_Himalayan_National_Park%2C_Kullu%2C_Himachal.jpg|https://upload.wikimedia.org/wikipedia/commons/3/32/Great_Himlayan_National_Park%2C_Himachal_Pradesh%2C_India.jpg|https://upload.wikimedia.org/wikipedia/commons/4/4d/Verditer_Flycatcher_in_Great_Himalayan_National_Park.jpg
cmpy1k7rg000b04l55a1ci0ky,Tirthan Valley,Gushaini,Himachal Pradesh,1,https://upload.wikimedia.org/wikipedia/commons/6/61/Solang_Valley%2C_India.jpg
cmpy1k7iw000a04l5v2pw56dy,Jibhi,Jibhi,Himachal Pradesh,0,
cmptwumsm000805l1fu5fqqqq,Kalpa,Kalpa,Himachal Pradesh,2,https://upload.wikimedia.org/wikipedia/commons/1/1e/Kalpa_Kinnaur.jpg|https://upload.wikimedia.org/wikipedia/commons/7/7c/Kinnaur_Kailash_from_Kalpa.jpg
cmpy1lkfc000t04l5rsqd8tf9,Kasauli,Kasauli,Himachal Pradesh,5,https://upload.wikimedia.org/wikipedia/commons/1/16/CHRIST_CHURCH%2C_KASAULI.JPG|https://upload.wikimedia.org/wikipedia/commons/4/47/Central_Research_Institute%2C_Kasauli.JPG|https://upload.wikimedia.org/wikipedia/commons/7/7c/Christ_Church%2C_Kasauli_%2CSolan_%2CHimachal_Pardesh.jpg|https://upload.wikimedia.org/wikipedia/commons/0/02/Christchurch.kasauli.jpg|https://upload.wikimedia.org/wikipedia/commons/6/65/Doordarshan_TV_tower_Kasauli.jpg
cmptwum3i000505l1dnwapxm2,Kasol,Kasol,Himachal Pradesh,1,https://upload.wikimedia.org/wikipedia/commons/9/9e/Kasol_Parvati_valley.jpg
cmpy1k8pp000e04l5wrzz7wkf,Kaza,Kaza,Himachal Pradesh,2,https://upload.wikimedia.org/wikipedia/commons/4/4c/Spiti_Valley.jpg|https://upload.wikimedia.org/wikipedia/commons/8/8d/Key_Gompa_Spiti_Valley.jpg
cmpy1k8y9000f04l55r9j0s1k,Key Monastery,Kaza,Himachal Pradesh,3,https://upload.wikimedia.org/wikipedia/commons/2/2a/Key_Monastery_Spiti.jpg|https://upload.wikimedia.org/wikipedia/commons/8/8d/Key_Gompa_Spiti_Valley.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3b/Tabo_Monastery.jpg
cmptwulv5000405l1a3o6wpq9,Khajjiar,Khajjiar,Himachal Pradesh,3,https://upload.wikimedia.org/wikipedia/commons/5/5a/Khajjiar_Meadow.jpg|https://upload.wikimedia.org/wikipedia/commons/6/6e/Khajjiar_Lake.jpg|https://upload.wikimedia.org/wikipedia/commons/9/9d/Khajjiar.jpg
cmpy1lixh000q04l5rk7whwpf,Kufri,Kufri,Himachal Pradesh,2,https://upload.wikimedia.org/wikipedia/commons/8/85/Kufri_Simla_Himachal_India_%281%29.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3e/Kufri_Shimla.jpg
cmptwumk6000705l1a97cl6ve,Kullu,Kullu,Himachal Pradesh,3,https://upload.wikimedia.org/wikipedia/commons/8/80/Beas_River%2C_Kullu_Valley.jpg|https://upload.wikimedia.org/wikipedia/commons/3/34/Beas_Valley_-_Palchan_-_Kullu_2014-05-10_2275.JPG|https://upload.wikimedia.org/wikipedia/commons/6/61/Kullu_Valley_with_River_Beas_-_Kullu_-_Himachal_Pradesh_-_2014-05-09_2186.JPG
cmpy1lji7000r04l5kastjhcv,Gulaba Snow Point,Manali,Himachal Pradesh,1,https://upload.wikimedia.org/wikipedia/commons/b/b8/Rohtang_Pass.jpg
cmpy1ljqf000s04l5alco3p79,Hadimba Temple,Manali,Himachal Pradesh,1,https://upload.wikimedia.org/wikipedia/commons/3/3c/Hadimba_Devi_Temple%2C_Manali.jpg
cmptwul60000105l1xrc1pw0t,Manali,Manali,Himachal Pradesh,4,https://upload.wikimedia.org/wikipedia/commons/5/5c/Manali_City.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3c/Hadimba_Devi_Temple%2C_Manali.jpg|https://upload.wikimedia.org/wikipedia/commons/9/9a/Manali_view.jpg|https://upload.wikimedia.org/wikipedia/commons/2/2e/Manali_Town.jpg
cmpy1krsa000i04l59qfoqa9c,Rohtang Pass,Manali,Himachal Pradesh,1,https://upload.wikimedia.org/wikipedia/commons/b/b8/Rohtang_Pass.jpg
cmpy1ks0h000j04l5sjplj9aw,Solang Valley,Manali,Himachal Pradesh,1,https://upload.wikimedia.org/wikipedia/commons/6/61/Solang_Valley%2C_India.jpg
cmpy1k7ac000904l5z4m14re2,Mashobra,Mashobra,Himachal Pradesh,3,https://upload.wikimedia.org/wikipedia/commons/3/3d/Mashobra_2.jpg|https://upload.wikimedia.org/wikipedia/commons/c/ce/Mashobra_Himanchal_Pradesh.jpg|https://upload.wikimedia.org/wikipedia/commons/1/1f/Mashobra_Sunset.jpg
cmpy1k63d000604l5753ith6x,Bhagsu Waterfall,McLeod Ganj,Himachal Pradesh,4,https://upload.wikimedia.org/wikipedia/commons/4/4f/McLeod_Ganj_Street.jpg|https://upload.wikimedia.org/wikipedia/commons/8/8e/McLeod_Ganj.jpg|https://upload.wikimedia.org/wikipedia/commons/2/2d/Dharamshala_McLeod_Ganj.jpg|https://upload.wikimedia.org/wikipedia/commons/1/1b/Bhagsu_Falls.jpg
cmpy1k9fc000h04l5r6nqmw40,Narkanda,Narkanda,Himachal Pradesh,5,https://upload.wikimedia.org/wikipedia/commons/8/81/NARKANDA.jpg|https://upload.wikimedia.org/wikipedia/commons/8/83/Narkanda_DSC_5964_%2822108437655%29.jpg|https://upload.wikimedia.org/wikipedia/commons/d/d5/Narkanda_DSC_5974_%2821920532978%29.jpg|https://upload.wikimedia.org/wikipedia/commons/3/39/Narkanda_India1.jpg|https://upload.wikimedia.org/wikipedia/commons/c/cc/Narkanda_himachal_pradesh_India.jpg
cmpy1k6bw000704l5os1l67e6,Palampur,Palampur,Himachal Pradesh,2,https://upload.wikimedia.org/wikipedia/commons/7/70/A_view_of_Palampur_Himachal_Pradesh_India.jpg|https://upload.wikimedia.org/wikipedia/commons/a/a1/Palampur_tea_plantation%2C_Himachal_Pradesh%2C_India.jpg
cmpy1k96t000g04l5vjxl61mq,Rewalsar Lake,Rewalsar,Himachal Pradesh,3,https://upload.wikimedia.org/wikipedia/commons/9/95/Morning_mist%2C_Lake_Rewalsar.jpg|https://upload.wikimedia.org/wikipedia/commons/d/d2/Rewalsar_Lake%2C_Mandi.jpg|https://upload.wikimedia.org/wikipedia/commons/5/54/Shrine_to_Mandarava_in_cave_above_Lake_Rewalsar.jpg
cmpy1ku70000p04l55chs4a27,Sangla Valley,Sangla,Himachal Pradesh,3,https://upload.wikimedia.org/wikipedia/commons/4/4a/Sangla_valley.jpg|https://upload.wikimedia.org/wikipedia/commons/8/8a/Sangla_village.jpg|https://upload.wikimedia.org/wikipedia/commons/4/4c/Spiti_Valley.jpg
